model,predictor,beta,se_naive,se_clustered,t_clustered,p_clustered,ci_lo,ci_hi,design_effect,n_pairs,n_unique_chars,df_resid
hfl/chinese-macbert-base,ppmi,0.007601382699095287,0.00031143184686872796,0.0003785089298957141,20.082439537660584,5.844220680041158e-87,0.006859505196499687,0.008343260201690886,1.215382863703274,200000,6203,6198
hfl/chinese-macbert-base,freq_diff,0.0001380020972687773,0.00032202752744869807,0.00035392457945733024,0.3899195062416259,0.6966094675773693,-0.00055569007846759,0.0008316942730051445,1.0990506999862417,200000,6203,6198
hfl/chinese-macbert-base,stroke_diff,-0.00032853332128179267,0.00031303863667201136,0.00035820618017696885,-0.917162627176012,0.3590931132252727,-0.0010306174344286516,0.00037355079186506625,1.1442874399950895,200000,6203,6198
nghuyong/ernie-3.0-base-zh,same_radical,0.004969674828051115,0.0004002687214068001,0.00046682850692482083,10.645611299079135,3.07700817841259e-26,0.004054690954478466,0.0058846587016237635,1.1662877510990295,200000,6203,6198
nghuyong/ernie-3.0-base-zh,ppmi,0.0067668433899759324,0.00038910394318111016,0.00042562500551755327,15.89860394068614,8.125749220999418e-56,0.005932618379161528,0.007601068400790337,1.0938593992080008,200000,6203,6198
nghuyong/ernie-3.0-base-zh,freq_diff,-0.0012436524598692224,0.000402342220305966,0.000432609969045946,-2.874766068410084,0.004057036639766359,-0.0020915679991992766,-0.00039573692053916827,1.0752288654095574,200000,6203,6198
nghuyong/ernie-3.0-base-zh,stroke_diff,-0.003183315487356586,0.00039111147148820815,0.000483163865885485,-6.588480041905836,4.809302624758351e-11,-0.004130316664492137,-0.002236314310221035,1.2353610188088082,200000,6203,6198
hfl/chinese-bert-wwm-ext,same_radical,0.007113394825931761,0.0002482652930523637,0.0003490810379715056,20.377488468773272,2.1338068002654735e-89,0.00642919599150761,0.007797593660355912,1.4060807037489451,200000,6203,6198
hfl/chinese-bert-wwm-ext,ppmi,0.009765463064929088,0.00024134037788956108,0.0002962275609601911,32.96608537461993,9.567331940858223e-220,0.009184857045447114,0.010346069084411063,1.227426440410012,200000,6203,6198
hfl/chinese-bert-wwm-ext,freq_diff,-0.0006418395627794764,0.00024955137358854924,0.00028953722900997144,-2.216777320740926,0.026674472530224553,-0.0012093325316390204,-7.434659391993242e-05,1.1602309570427345,200000,6203,6198
hfl/chinese-bert-wwm-ext,stroke_diff,-0.0025342592946559403,0.00024258554039369306,0.0003011901824745987,-8.414149737001042,4.8642721091368623e-17,-0.003124592052306154,-0.001943926537005727,1.2415834100655625,200000,6203,6198
