model,src_radical,tgt_radical,n_src_chars,top10_target_rate,baseline_rate,lift
xlm-roberta-base,9,184,30,0.01,0.010466222645099905,0.9554545454545454
xlm-roberta-base,9,187,30,0.023333333333333334,0.012052013954963527,1.9360526315789475
xlm-roberta-base,9,195,30,0.013333333333333334,0.008721852204249921,1.5287272727272727
xlm-roberta-base,9,196,30,0.016666666666666666,0.010466222645099905,1.5924242424242425
xlm-roberta-base,10,1,21,0.02857142857142857,0.004915953060577228,5.811981566820276
xlm-roberta-base,10,9,21,0.06190476190476191,0.040279099270535995,1.5368953880764906
xlm-roberta-base,10,15,21,0.03333333333333333,0.004123057405645417,8.084615384615384
xlm-roberta-base,10,18,21,0.05714285714285714,0.011100539169045354,5.147755102040816
xlm-roberta-base,10,19,21,0.03333333333333333,0.00650174437044085,5.126829268292683
xlm-roberta-base,10,27,21,0.01904761904761905,0.003330161750713606,5.719727891156463
xlm-roberta-base,10,30,21,0.22857142857142856,0.05629559150015858,4.060201207243461
xlm-roberta-base,10,31,21,0.03333333333333333,0.005867427846495401,5.681081081081081
xlm-roberta-base,10,32,21,0.07142857142857142,0.021249603552172536,3.3614072494669505
xlm-roberta-base,10,37,21,0.02857142857142857,0.005867427846495401,4.86949806949807
xlm-roberta-base,10,38,21,0.08095238095238096,0.02156676181414526,3.7535714285714286
xlm-roberta-base,10,39,21,0.04285714285714286,0.0045987947986045035,9.3192118226601
xlm-roberta-base,10,40,21,0.03333333333333333,0.010466222645099905,3.184848484848485
xlm-roberta-base,10,44,21,0.009523809523809525,0.00507453219156359,1.8767857142857145
xlm-roberta-base,10,46,21,0.03333333333333333,0.012686330478908976,2.6275
xlm-roberta-base,10,50,21,0.0380952380952381,0.006977481763399937,5.4597402597402604
xlm-roberta-base,10,53,21,0.0380952380952381,0.0074532191563590235,5.111246200607903
xlm-roberta-base,10,57,21,0.03333333333333333,0.004123057405645417,8.084615384615384
xlm-roberta-base,10,60,21,0.009523809523809525,0.006184586108468126,1.53992673992674
xlm-roberta-base,10,61,21,0.10476190476190476,0.03330161750713606,3.1458503401360547
xlm-roberta-base,10,62,21,0.02857142857142857,0.003805899143672693,7.507142857142856
xlm-roberta-base,10,64,21,0.13333333333333333,0.05090390104662226,2.6193146417445483
xlm-roberta-base,10,66,21,0.03333333333333333,0.005391690453536315,6.182352941176471
xlm-roberta-base,10,72,21,0.0380952380952381,0.01569933396764986,2.4265512265512266
xlm-roberta-base,10,75,21,0.10476190476190476,0.047573739295908656,2.202095238095238
xlm-roberta-base,10,76,21,0.014285714285714285,0.003171582619727244,4.5042857142857144
xlm-roberta-base,10,78,21,0.009523809523809525,0.003171582619727244,3.002857142857143
xlm-roberta-base,10,85,21,0.18571428571428572,0.06454170631144941,2.8774306774306777
xlm-roberta-base,10,86,21,0.11428571428571428,0.021408182683158895,5.338412698412698
xlm-roberta-base,10,93,21,0.0380952380952381,0.003805899143672693,10.00952380952381
xlm-roberta-base,10,94,21,0.09047619047619047,0.010466222645099905,8.644588744588745
xlm-roberta-base,10,96,21,0.07142857142857142,0.01665080875356803,4.289795918367346
xlm-roberta-base,10,102,21,0.014285714285714285,0.005550269584522677,2.573877551020408
xlm-roberta-base,10,104,21,0.1380952380952381,0.013954963526799874,9.895779220779222
xlm-roberta-base,10,108,21,0.02857142857142857,0.004123057405645417,6.92967032967033
xlm-roberta-base,10,109,21,0.03333333333333333,0.012210593085949888,2.72987012987013
xlm-roberta-base,10,112,21,0.047619047619047616,0.013320647002854425,3.574829931972789
xlm-roberta-base,10,113,21,0.07142857142857142,0.007136060894386299,10.00952380952381
xlm-roberta-base,10,115,21,0.0380952380952381,0.009039010466222646,4.21453634085213
xlm-roberta-base,10,116,21,0.02857142857142857,0.005550269584522677,5.147755102040816
xlm-roberta-base,10,118,21,0.04285714285714286,0.01585791309863622,2.702571428571429
xlm-roberta-base,10,119,21,0.06190476190476191,0.006660323501427212,9.294557823129251
xlm-roberta-base,10,120,21,0.0761904761904762,0.03679035838883603,2.0709359605911333
xlm-roberta-base,10,124,21,0.01904761904761905,0.0034887408816999684,5.4597402597402604
xlm-roberta-base,10,128,21,0.02857142857142857,0.004440215667618141,6.4346938775510205
xlm-roberta-base,10,130,21,0.09047619047619047,0.022042499207104344,4.104624871531346
xlm-roberta-base,10,140,21,0.11428571428571428,0.04773231842689502,2.3943046986236354
xlm-roberta-base,10,142,21,0.08571428571428572,0.018395179194418014,4.65960591133005
xlm-roberta-base,10,145,21,0.1,0.01157627656200444,8.638356164383563
xlm-roberta-base,10,147,21,0.05238095238095238,0.0036473200126863306,14.361490683229814
xlm-roberta-base,10,149,21,0.05238095238095238,0.03853472882968601,1.3593180482069371
xlm-roberta-base,10,154,21,0.07142857142857142,0.017443704408499842,4.094805194805194
xlm-roberta-base,10,157,21,0.02857142857142857,0.012210593085949888,2.339888682745826
xlm-roberta-base,10,159,21,0.05238095238095238,0.010624801776086268,4.9300639658848615
xlm-roberta-base,10,162,21,0.04285714285714286,0.019029495718363463,2.2521428571428572
