model,layer,pool,iso,intra_mean,inter_mean,delta,cohens_d,p_welch,p_perm,ci_lower,ci_upper,rsa_rho,rsa_p,n_intra,n_inter
bert-base-multilingual-cased,4,char,1,0.05327264592051506,0.01808643899857998,0.03518620878458023,0.19780202490937915,4.1129087741364873e-16,0.000999000999000999,0.026661220518872143,0.043790977448225014,0.046440080228204804,0.0,3400,3400
bert-base-multilingual-cased,4,mean,0,0.8825021386146545,0.8777725696563721,0.004729568958282471,0.15988529706206828,4.6594986786688907e-11,0.000999000999000999,0.0032608240842819216,0.006132179498672485,0.02224152825574409,4.161200651687408e-217,3400,3400
bert-base-multilingual-cased,4,mean,1,0.05343279987573624,0.018298381939530373,0.03513441979885101,0.1977354740863136,4.2058023654905853e-16,0.000999000999000999,0.026473766099661587,0.043769930955022573,0.04659237259630443,0.0,3400,3400
bert-base-multilingual-cased,5,char,0,0.6871728301048279,0.6743649244308472,0.012807905673980713,0.16474213270077465,1.1957133179391956e-11,0.000999000999000999,0.009007912874221802,0.016481241583824156,0.024393940994523917,9.62303062964958e-261,3400,3400
bert-base-multilingual-cased,5,char,1,0.054453205317258835,0.019069503992795944,0.03538370132446289,0.19970749243477107,2.154357076752442e-16,0.000999000999000999,0.02719342247582972,0.04398035015910864,0.05002770745320741,0.0,3400,3400
bert-base-multilingual-cased,5,mean,0,0.90875643491745,0.9047566056251526,0.003999829292297363,0.16830097907226554,4.309229247325653e-12,0.000999000999000999,0.0027985408902168273,0.005130641162395477,0.020408531032034723,4.045556384114304e-183,3400,3400
bert-base-multilingual-cased,5,mean,1,0.056838858872652054,0.0206264927983284,0.036212366074323654,0.19534328743277676,9.38884173861383e-16,0.000999000999000999,0.027278317557647824,0.04557558167725801,0.04370510996510636,0.0,3400,3400
bert-base-multilingual-cased,6,char,0,0.7583398222923279,0.7474731206893921,0.010866701602935791,0.1756630860577417,4.883986477015769e-13,0.000999000999000999,0.007784834504127503,0.013701650500297546,0.023117186571738883,2.252263592001551e-234,3400,3400
bert-base-multilingual-cased,6,char,1,0.06065462902188301,0.02089853212237358,0.03975609689950943,0.21032475071430276,5.2631562309341394e-18,0.000999000999000999,0.030686298850923777,0.04864777149632573,0.04256783194707399,0.0,3400,3400
bert-base-multilingual-cased,6,mean,0,0.8998223543167114,0.894838273525238,0.004984080791473389,0.1605046709934121,3.9242900645176934e-11,0.000999000999000999,0.003473344445228577,0.006432180106639862,0.025959625170253704,5.16358300264741e-295,3400,3400
bert-base-multilingual-cased,6,mean,1,0.05946262925863266,0.020307406783103943,0.03915522247552872,0.17650252264879465,3.7882274695909486e-13,0.000999000999000999,0.028514366876333953,0.049559256061911576,0.03581668955638714,0.0,3400,3400
bert-base-multilingual-cased,7,char,0,0.7284315228462219,0.716454267501831,0.01197725534439087,0.17459215836878775,6.741955309476409e-13,0.000999000999000999,0.008609436452388763,0.01523253470659256,0.027203492136146843,0.0,3400,3400
bert-base-multilingual-cased,7,char,1,0.06403913348913193,0.02051464281976223,0.04352448880672455,0.23117893284346414,2.110057344231753e-21,0.000999000999000999,0.034346786048263314,0.052418187726289034,0.04182339298550449,0.0,3400,3400
bert-base-multilingual-cased,7,mean,0,0.8563601970672607,0.8503544330596924,0.006005764007568359,0.12857603004566864,1.1855246776652102e-07,0.000999000999000999,0.003693997859954834,0.008236154913902283,0.028106130339513574,0.0,3400,3400
bert-base-multilingual-cased,7,mean,1,0.06310100853443146,0.020593542605638504,0.042507465928792953,0.20241915624552623,8.485506084363343e-17,0.000999000999000999,0.03255596347153187,0.052670685946941374,0.03389355542492212,0.0,3400,3400
bert-base-multilingual-cased,8,char,0,0.7468029260635376,0.7358275055885315,0.010975420475006104,0.1634766781037076,1.710150403219545e-11,0.000999000999000999,0.007599298655986786,0.014075082540512084,0.024849865731721734,1.673810837247458e-270,3400,3400
bert-base-multilingual-cased,8,char,1,0.061895791441202164,0.018883056938648224,0.04301273450255394,0.22616974674280976,1.4720060457835346e-20,0.000999000999000999,0.034011708199977876,0.05246626902371645,0.04137216114282852,0.0,3400,3400
bert-base-multilingual-cased,8,mean,0,0.8357476592063904,0.8293290734291077,0.006418585777282715,0.11393890965754919,2.681621240669527e-06,0.000999000999000999,0.0035443902015686035,0.008949558436870574,0.024492279244084092,7.826094734167392e-263,3400,3400
