model,field,dominant_radical,n_same_radical,n_diff_radical,intra_mean,cross_mean,delta,cohens_d,p_welch,p_perm,n_intra_pairs,n_cross_pairs,p_perm_holm
cl-tohoku/bert-base-japanese-char-v3,kinship,38,11,7,0.1379958838224411,0.07492851465940475,0.06306736916303635,0.2096598993210584,0.21740690738217633,0.11437712457508498,55,77,0.9150169966006798
cl-tohoku/bert-base-japanese-char-v3,mental,61,12,4,0.147094264626503,0.162155881524086,-0.015061616897583008,-0.07014109009606495,0.7342762952197758,0.638872225554889,66,48,1.0
cl-tohoku/bert-base-japanese-char-v3,speech,149,13,7,0.8653590083122253,0.29772210121154785,0.5676369071006775,1.4586683640797036,8.422741105353633e-18,0.0001999600079984003,78,91,0.003999200159968006
cl-tohoku/bert-base-japanese-char-v3,vision,109,14,4,0.4197697341442108,0.4621385633945465,-0.04236882925033569,-0.08377095569024881,0.6304742986508742,0.6914617076584683,91,56,1.0
cl-tohoku/bert-base-japanese-char-v3,tool,167,8,5,1.000000238418579,0.2589052617549896,0.7410949468612671,2.4380102164915574,1.6819182345972264e-14,0.0001999600079984003,28,40,0.003999200159968006
cl-tohoku/bert-base-japanese-char-v3,building,32,4,12,0.16839323937892914,0.19647037982940674,-0.0280771404504776,-0.08906217458226286,0.7336047723570474,0.5392921415716857,6,48,1.0
cl-tohoku/bert-base-japanese-char-v3,food_grain,119,5,9,0.2563885748386383,0.11295033246278763,0.14343824982643127,1.0906508572315776,0.0005935147727655423,0.001799640071985603,10,45,0.023395320935812838
glyph_only/resnet18,water,85,23,6,0.20112916827201843,-0.002135257003828883,0.20326443016529083,1.1340610026652012,1.2311467976977531e-25,0.0001999600079984003,253,138,0.003999200159968006
glyph_only/resnet18,metal,167,20,7,0.22792093455791473,-0.022834716364741325,0.25075563788414,1.6817504150076232,7.643986766042803e-43,0.0001999600079984003,190,140,0.003999200159968006
glyph_only/resnet18,wood_plant,75,18,5,0.20796769857406616,0.020680582150816917,0.1872871220111847,1.1737904183409011,2.490913626913772e-18,0.0001999600079984003,153,90,0.003999200159968006
glyph_only/resnet18,earth,32,18,4,0.08918379247188568,-0.0022699858527630568,0.09145377576351166,0.6249456301950493,4.207941753786401e-06,0.0001999600079984003,153,72,0.003999200159968006
glyph_only/resnet18,stone,112,15,6,0.23619535565376282,-0.018490483984351158,0.2546858489513397,1.8584353184349691,9.699469420672986e-29,0.0001999600079984003,105,90,0.003999200159968006
glyph_only/resnet18,mountain,46,13,5,0.07207204401493073,0.034381452947854996,0.03769059106707573,0.2745301693719403,0.10035357063660169,0.04839032193561288,78,65,0.09678064387122576
glyph_only/resnet18,grass_plant,140,17,5,0.14999189972877502,0.02132822573184967,0.12866367399692535,0.9040778096531521,6.5271657853838e-11,0.0001999600079984003,136,85,0.003999200159968006
glyph_only/resnet18,sky_weather,173,7,5,0.3692987263202667,0.0426408015191555,0.3266579210758209,1.8842337361016437,1.255349075532411e-09,0.0001999600079984003,21,35,0.003999200159968006
glyph_only/resnet18,bird,196,14,10,0.2704075872898102,-0.06550129503011703,0.3359088897705078,2.019759850753093,3.686839053676962e-31,0.0001999600079984003,91,140,0.003999200159968006
glyph_only/resnet18,fish,195,13,4,0.19854305684566498,0.05730459466576576,0.14123846590518951,0.8899557069608675,2.4020814692961632e-06,0.0001999600079984003,78,52,0.003999200159968006
