model,anchor_r1,r1_num,anchor_r2,r2_num,n_trials,top1_target_rate,top10_target_rate,baseline_rate,lift_top10
BAAI/bge-large-zh-v1.5,心,61,山,46,30,0.43333333333333335,0.3566666666666667,0.012686330478908976,28.114250000000002
BAAI/bge-large-zh-v1.5,心,61,石,112,30,0.03333333333333333,0.05333333333333334,0.013320647002854425,4.003809523809524
BAAI/bge-large-zh-v1.5,心,61,田,102,30,0.0,0.023333333333333334,0.005550269584522677,4.204000000000001
BAAI/bge-large-zh-v1.5,心,61,目,109,30,0.03333333333333333,0.09333333333333334,0.012210593085949888,7.6436363636363645
BAAI/bge-large-zh-v1.5,口,30,水,85,30,0.23333333333333334,0.36333333333333334,0.06454170631144941,5.62943488943489
BAAI/bge-large-zh-v1.5,口,30,火,86,30,0.6333333333333333,0.6566666666666666,0.021408182683158895,30.67362962962963
BAAI/bge-large-zh-v1.5,口,30,木,75,30,0.4,0.5,0.047573739295908656,10.51
BAAI/bge-large-zh-v1.5,口,30,金,167,30,0.5666666666666667,0.3933333333333333,0.03758325404376784,10.465654008438818
BAAI/bge-large-zh-v1.5,口,30,心,61,30,0.1,0.18333333333333332,0.03330161750713606,5.505238095238095
BAAI/bge-large-zh-v1.5,口,30,言,149,30,0.03333333333333333,0.11333333333333333,0.03853472882968601,2.9410699588477365
BAAI/bge-large-zh-v1.5,口,30,鸟,196,30,0.9,0.39666666666666667,0.010466222645099905,37.89969696969697
BAAI/bge-large-zh-v1.5,口,30,鱼,195,30,0.9,0.47333333333333333,0.008721852204249921,54.26981818181818
BAAI/bge-large-zh-v1.5,口,30,山,46,30,0.26666666666666666,0.21333333333333335,0.012686330478908976,16.816
BAAI/bge-large-zh-v1.5,口,30,石,112,30,0.1,0.09333333333333334,0.013320647002854425,7.006666666666667
BAAI/bge-large-zh-v1.5,口,30,田,102,30,0.0,0.016666666666666666,0.005550269584522677,3.0028571428571427
BAAI/bge-large-zh-v1.5,口,30,目,109,30,0.03333333333333333,0.05333333333333334,0.012210593085949888,4.367792207792208
BAAI/bge-large-zh-v1.5,言,149,水,85,30,0.26666666666666666,0.5,0.06454170631144941,7.746928746928747
BAAI/bge-large-zh-v1.5,言,149,火,86,30,0.5333333333333333,0.79,0.021408182683158895,36.90177777777778
BAAI/bge-large-zh-v1.5,言,149,木,75,30,0.16666666666666666,0.6833333333333333,0.047573739295908656,14.363666666666667
BAAI/bge-large-zh-v1.5,言,149,金,167,30,0.3333333333333333,0.49,0.03758325404376784,13.037721518987341
BAAI/bge-large-zh-v1.5,言,149,心,61,30,0.06666666666666667,0.15666666666666668,0.03330161750713606,4.704476190476191
BAAI/bge-large-zh-v1.5,言,149,口,30,30,0.0,0.23666666666666666,0.05629559150015858,4.204
BAAI/bge-large-zh-v1.5,言,149,鸟,196,30,0.7333333333333333,0.59,0.010466222645099905,56.37181818181818
BAAI/bge-large-zh-v1.5,言,149,鱼,195,30,0.9666666666666667,0.55,0.008721852204249921,63.06
BAAI/bge-large-zh-v1.5,言,149,山,46,30,0.4666666666666667,0.38,0.012686330478908976,29.9535
BAAI/bge-large-zh-v1.5,言,149,石,112,30,0.06666666666666667,0.22,0.013320647002854425,16.515714285714285
BAAI/bge-large-zh-v1.5,言,149,田,102,30,0.0,0.043333333333333335,0.005550269584522677,7.807428571428572
BAAI/bge-large-zh-v1.5,言,149,目,109,30,0.06666666666666667,0.13,0.012210593085949888,10.646493506493508
BAAI/bge-large-zh-v1.5,鸟,196,水,85,30,0.7333333333333333,0.71,0.06454170631144941,11.00063882063882
BAAI/bge-large-zh-v1.5,鸟,196,火,86,30,1.0,0.8933333333333333,0.021408182683158895,41.72859259259259
BAAI/bge-large-zh-v1.5,鸟,196,木,75,30,0.6666666666666666,0.6566666666666666,0.047573739295908656,13.803133333333333
BAAI/bge-large-zh-v1.5,鸟,196,金,167,30,0.7666666666666667,0.5966666666666667,0.03758325404376784,15.875864978902953
BAAI/bge-large-zh-v1.5,鸟,196,心,61,30,0.13333333333333333,0.15333333333333332,0.03330161750713606,4.604380952380952
BAAI/bge-large-zh-v1.5,鸟,196,口,30,30,0.0,0.37666666666666665,0.05629559150015858,6.69087323943662
BAAI/bge-large-zh-v1.5,鸟,196,言,149,30,0.5333333333333333,0.57,0.03853472882968601,14.79185185185185
BAAI/bge-large-zh-v1.5,鸟,196,鱼,195,30,0.9333333333333333,0.7166666666666667,0.008721852204249921,82.16909090909091
BAAI/bge-large-zh-v1.5,鸟,196,山,46,30,0.8333333333333334,0.6033333333333334,0.012686330478908976,47.557750000000006
BAAI/bge-large-zh-v1.5,鸟,196,石,112,30,0.13333333333333333,0.21333333333333335,0.013320647002854425,16.015238095238097
BAAI/bge-large-zh-v1.5,鸟,196,田,102,30,0.0,0.04,0.005550269584522677,7.206857142857143
BAAI/bge-large-zh-v1.5,鸟,196,目,109,30,0.06666666666666667,0.14666666666666667,0.012210593085949888,12.011428571428572
BAAI/bge-large-zh-v1.5,鱼,195,水,85,30,0.5333333333333333,0.4033333333333333,0.06454170631144941,6.249189189189189
BAAI/bge-large-zh-v1.5,鱼,195,火,86,30,0.9,0.9033333333333333,0.021408182683158895,42.19570370370371
BAAI/bge-large-zh-v1.5,鱼,195,木,75,30,0.7333333333333333,0.7333333333333333,0.047573739295908656,15.414666666666667
BAAI/bge-large-zh-v1.5,鱼,195,金,167,30,0.9,0.6433333333333333,0.03758325404376784,17.117552742616034
BAAI/bge-large-zh-v1.5,鱼,195,心,61,30,0.03333333333333333,0.05,0.03330161750713606,1.5014285714285716
BAAI/bge-large-zh-v1.5,鱼,195,口,30,30,0.0,0.36333333333333334,0.05629559150015858,6.454028169014085
BAAI/bge-large-zh-v1.5,鱼,195,言,149,30,0.6666666666666666,0.5766666666666667,0.03853472882968601,14.96485596707819
BAAI/bge-large-zh-v1.5,鱼,195,鸟,196,30,0.9,0.6433333333333333,0.010466222645099905,61.46757575757576
BAAI/bge-large-zh-v1.5,鱼,195,山,46,30,0.7666666666666667,0.6066666666666667,0.012686330478908976,47.8205
BAAI/bge-large-zh-v1.5,鱼,195,石,112,30,0.1,0.20666666666666667,0.013320647002854425,15.514761904761905
BAAI/bge-large-zh-v1.5,鱼,195,田,102,30,0.0,0.02,0.005550269584522677,3.6034285714285716
BAAI/bge-large-zh-v1.5,鱼,195,目,109,30,0.1,0.23333333333333334,0.012210593085949888,19.10909090909091
BAAI/bge-large-zh-v1.5,山,46,水,85,30,0.5,0.56,0.06454170631144941,8.676560196560198
BAAI/bge-large-zh-v1.5,山,46,火,86,30,0.7666666666666667,0.86,0.021408182683158895,40.17155555555556
BAAI/bge-large-zh-v1.5,山,46,木,75,30,0.4,0.5533333333333333,0.047573739295908656,11.631066666666667
BAAI/bge-large-zh-v1.5,山,46,金,167,30,0.7333333333333333,0.41,0.03758325404376784,10.909113924050633
BAAI/bge-large-zh-v1.5,山,46,心,61,30,0.13333333333333333,0.12666666666666668,0.03330161750713606,3.803619047619048
